bill_no,intro,link,name,passed,second
"
                 36/2012	
            ","
                  12.11.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/computer-misuse-(amendment)-bill-36-2012.pdf?sfvrsn=0,Computer Misuse (Amendment) Bill,"
                   14.01.2013	
            ","
                   14.01.2013	
            "
"
                 35/2012	
            ","
                  15.10.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/road-traffic-(amendment)-bill-35-2012.pdf?sfvrsn=0,Road Traffic (Amendment) Bill,"
                   16.11.2012
            ","
                   16.11.2012
            "
"
                 34/2012	
            ","
                  15.10.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/criminal-procedure-code-(amendment)-bill-34-2012.pdf?sfvrsn=0,Criminal Procedure Code (Amendment) Bill,"
                   14.11.2012	
            ","
                   14.11.2012	
            "
"
                 33/2012	
            ","
                  15.10.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/penal-code-(amendment)-bill-33-2012.pdf?sfvrsn=0,Penal Code (Amendment) Bill,"
                   14.11.2012	
            ","
                   14.11.2012	
            "
"
                 32/2012	
            ","
                  15.10.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/financial-advisers-(amendment)-bill-32-2012.pdf?sfvrsn=0,Financial Advisers (Amendment) Bill,"
                   15.11.2012	
            ","
                   15.11.2012	
            "
"
                 31/2012	
            ","
                  15.10.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/securities-and-futures-(amendment)-bill-31-2012.pdf?sfvrsn=0,Securities and Futures (Amendment) Bill,"
                   15.11.2012	
            ","
                   15.11.2012	
            "
"
                 30/2012	
            ","
                  15.10.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/goods-and-services-tax-voucher-fund-bill-30-2012.pdf?sfvrsn=0,Goods and Services Tax Voucher Fund Bill,"
                   14.11.2012	
            ","
                   14.11.2012	
            "
"
                 29/2012
            ","
                  15.10.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/income-tax-(amendment)-bill-29-2012.pdf?sfvrsn=0,Income Tax (Amendment) Bill,"
                   11/14/2012
            ","
                   11/14/2012
            "
"
                 28/2012	
            ","
                  15.10.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/casino-control-(amendment)-bill-28-2012.pdf?sfvrsn=0,Casino Control (Amendment) Bill,"
                   16.11.2012	
            ","
                   16.11.2012	
            "
"
                 27/2012	
            ","
                  15.10.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/misuse-of-drugs-(amendment)-bill-27-2012.pdf?sfvrsn=0,Misuse of Drugs (Amendment) Bill,"
                   14.11.2012	
            ","
                   14.11.2012	
            "
"
                 26/2012	
            ","
                  10.09.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/voluntary-sterilization-(amendment)-bill-26-2012.pdf?sfvrsn=0,Voluntary Sterilization (Amendment) Bill,"
                   16.10.2012
            ","
                   16.10.2012
            "
"
                 25/2012	
            ","
                  10.09.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/civil-law-(amendment)-bill-25-2012.pdf?sfvrsn=0,Civil Law (Amendment) Bill,"
                   25/2012	
            ","
                   25/2012	
            "
"
                 24/2012	
            ","
                  10.09.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/personal-data-protection-bill-24-2012.pdf?sfvrsn=0,Personal Data Protection Bill,"
                   15.10.2012	
            ","
                   15.10.2012	
            "
"
                 23/2012	
            ","
                  10.09.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/statutes-(miscellaneous-amendments)-(no-2)-bill-23-2012.pdf?sfvrsn=0,Statutes (Miscellaneous Amendments) (No. 2) Bill,"
                   15.10.2012	
            ","
                   15.10.2012	
            "
"
                 22/2012	
            ","
                  13.08.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/employment-of-foreign-manpower-(amendment)-bill-22-20125d381fdbcb5f64e2b198ff00006af031.pdf?sfvrsn=0,Employment of Foreign Manpower (Amendment) Bill,"
                   11.09.2012	
            ","
                   11.09.2012	
            "
"
                 21/2012	
            ","
                  13.08.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/central-provident-fund-(amendment)-bill-21-2012.pdf?sfvrsn=0,Central Provident Fund (Amendment) Bill,"
                   10.09.2012	
            ","
                   10.09.2012	
            "
"
                 20/2012	
            ","
                  13.08.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/building-control-(amendment)-bill-20-2012.pdf?sfvrsn=0,Building Control (Amendment) Bill,"
                   10.09.2012	
            ","
                   10.09.2012	
            "
"
                 19/2012	
            ","
                  13.08.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/goods-and-services-tax-(amendment)-bill-19-2012.pdf?sfvrsn=0,Goods and Services Tax (Amendment) Bill,"
                   10.09.2012	
            ","
                   10.09.2012	
            "
"
                 22/2008
            ","
                  15.09.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080022.pdf?sfvrsn=4,Financial Advisers (Amendment) Bill,"
                   19.01.2009
            ","
                   
            "
"
                 21/2008
            ","
                  25.08.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080021.pdf?sfvrsn=4,Central Provident Fund (Amendment) Bill,"
                   16.09.2008
            ","
                   
            "
"
                 20/2008
            ","
                  25.08.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080020.pdf?sfvrsn=4,Merchant Shipping (Civil Liability and Compensation for Bunker Oil Pollution) Bill,"
                   16.09.2008
            ","
                   
            "
"
                 19/2008
            ","
                  25.08.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080019.pdf?sfvrsn=4,Co-operative Societies (Amendment) Bill,"
                   16.09.2008
            ","
                   
            "
"
                 18/2008
            ","
                  25.08.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080018.pdf?sfvrsn=4,Environmental Public Health (Amendment) Bill,"
                   16.09.2008
            ","
                   
            "
"
                 17/2008
            ","
                  21.07.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080017.pdf?sfvrsn=4,Skills Development Levy (Amendment) Bill,"
                   26.08.2008
            ","
                   
            "
"
                 16/2008
            ","
                  21.07.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080016.pdf?sfvrsn=4,Legal Profession (Amendment) Bill,"
                   26.08.2008
            ","
                   
            "
"
                 15/2008
            ","
                  21.07.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080015.pdf?sfvrsn=4,Patents (Amendment) Bill,"
                   25.08.2008
            ","
                   
            "
"
                 14/2008
            ","
                  21.07.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080014.pdf?sfvrsn=4,Public Transport Council (Amendment) Bill,"
                   25.08.2008
            ","
                   
            "
"
                 13/2008
            ","
                  21.07.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080013.pdf?sfvrsn=4,Mental Capacity Bill,"
                   15.09.2008
            ","
                   
            "
"
                 12/2008
            ","
                  21.07.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080012.pdf?sfvrsn=4,Estate Duty (Abolition) Bill,"
                   25.08.2008
            ","
                   
            "
"
                 11/2008
            ","
                  21.07.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080011.pdf?sfvrsn=4,Mental Health (Care and Treatment) Bill,"
                   15.09.2008
            ","
                   
            "
"
                 10/2008
            ","
                  21.07.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080010.pdf?sfvrsn=4,Consumer Protection (Fair Trading) (Amendment) Bill,"
                   25.08.2008
            ","
                   
            "
"
                 09/2008
            ","
                  21.07.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080009.pdf?sfvrsn=4,Singapore Tourism (Cess Collection) (Amendment) Bill,"
                   25.08.2008
            ","
                   
            "
"
                 08/2008
            ","
                  21.07.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080008.pdf?sfvrsn=6,Parliamentary Elections (Amendment) Bill,"
                   25.08.2008
            ","
                   
            "
"
                 07/2008
            ","
                  26.05.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080007.pdf?sfvrsn=4,Singapore Totalisator Board (Amendment) Bill,"
                   21.07.2008
            ","
                   
            "
"
                 06/2008
            ","
                  06.03.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080006.pdf?sfvrsn=4,Economic Development Board (Amendment) Bill,"
                   22.04.2008
            ","
                   
            "
"
                 05/2008
            ","
                  28.02.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080005.pdf?sfvrsn=4,Infectious Diseases (Amendment) Bill,"
                   22.04.2008
            ","
                   
            "
"
                 04/2008
            ","
                  25.02.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080004.pdf?sfvrsn=4,Supplementary Supply (FY 2007) Bill,"
                   06.03.2008
            ","
                   
            "
"
                 03/2008
            ","
                  25.02.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080003.pdf?sfvrsn=4,Supply Bill,"
                   06.03.2008
            ","
                   
            "
"
                 02/2008
            ","
                  15.02.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080002.pdf?sfvrsn=4,Workplace Safety and Health (Amendment) Bill,"
                   06.03.2008
            ","
                   
            "
"
                 01/2008
            ","
                  21.01.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080001.pdf?sfvrsn=4,Internationally Protected Persons Bill,"
                   06.03.2008
            ","
                   
            "
"
                 50/2007
            ","
                  12.11.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070050.pdf?sfvrsn=4,Workmen's Compensation (Amendment) Bill,"
                   22.01.2008
            ","
                   
            "
"
                 49/2007
            ","
                  12.11.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070049.pdf?sfvrsn=4,Statutes (Miscellaneous Amendments) (No. 2) Bill,"
                   22.01.2008
            ","
                   
            "
"
                 48/2007
            ","
                  12.11.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070048.pdf?sfvrsn=4,Customs (Amendment) Bill,"
                   22.01.2008
            ","
                   
            "
"
                 47/2007
            ","
                  12.11.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070047.pdf?sfvrsn=4,Human Organ Transplant (Amendment) Bill,"
                   21.01.2008
            ","
                   
            "
"
                 46/2007
            ","
                  12.11.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070046.pdf?sfvrsn=4,Housing and Development (Amendment) Bill,"
                   21.01.2008
            ","
                   
            "
"
                 45/2007
            ","
                  22.10.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070045.pdf?sfvrsn=4,"Agency for Science, Technology and Research (Amendment) Bill","
                   12.11.2007
            ","
                   
            "
"
                 44/2007
            ","
                  22.10.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070044.pdf?sfvrsn=4,Central Provident Fund (Amendment No. 2) Bill,"
                   12.11.2007
            ","
                   
            "
"
                 43/2007
            ","
                  22.10.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070043.pdf?sfvrsn=4,Income Tax (Amendment No. 2) Bill,"
                   12.11.2007
            ","
                   
            "
"
                 42/2007
            ","
                  22.10.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070042.pdf?sfvrsn=4,National Registry of Diseases Bill,"
                   12.11.2007
            ","
                   
            "
"
                 41/2007
            ","
                  22.10.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070041.pdf?sfvrsn=4,Geneva Conventions (Amendment) Bill,"
                   12.11.2007
            ","
                   
            "
"
                 40/2007
            ","
                  17.09.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070040.pdf?sfvrsn=4,Education Endowment Scheme (Amendment No. 2) Bill,"
                   23.10.2007
            ","
                   
            "
"
                 39/2007
            ","
                  17.09.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070039.pdf?sfvrsn=4,Chemical Weapons (Prohibition)(Amendment) Bill,"
                   22.10.2007
            ","
                   
            "
"
                 38/2007
            ","
                  17.09.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070038.pdf?sfvrsn=4,Penal Code (Amendment) Bill,"
                   23.10.2007
            ","
                   
            "
"
                 37/2007
            ","
                  17.09.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070037.pdf?sfvrsn=4,Terrorism (Suppression of Bombings) Bill,"
                   23.10.2007
            ","
                   
            "
"
                 36/2007
            ","
                  27.08.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070036.pdf?sfvrsn=4,Pharmacists Registration Bill,"
                   20.09.2007
            ","
                   
            "
"
                 35/2007
            ","
                  27.08.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070035.pdf?sfvrsn=4,Strategic Goods (Control)(Amendment) Bill,"
                   19.09.2007
            ","
                   
            "
"
                 34/2007
            ","
                  27.08.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070034.pdf?sfvrsn=4,Building Control (Amendment) Bill,"
                   20.09.2007
            ","
                   
            "
"
                 33/2007
            ","
                  27.08.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070033.pdf?sfvrsn=4,"Corruption, Drug Trafficking and Other Serious Crimes (Confiscation of Benefits)(Amendment) Bill","
                   19.09.2007
            ","
                   
            "
"
                 23/2009
            ","
                  23.11.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090023.pdf?sfvrsn=4,Moneylenders (Amendment) Bill,"
                   12.01.2010
            ","
                   
            "
"
                 22/2009
            ","
                  19.10.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090022.pdf?sfvrsn=4,Medical Registration (Amendment) Bill,"
                   11.01.2010
            ","
                   
            "
"
                 21/2009
            ","
                  19.10.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090021.pdf?sfvrsn=4,Singapore Armed Forces (Amendment) Bill,"
                   23.11.2009
            ","
                   
            "
"
                 20/2009
            ","
                  14.09.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090020.pdf?sfvrsn=4,International Arbitration (Amendment) Bill,"
                   19.10.2009
            ","
                   
            "
"
                 19/2009
            ","
                  14.09.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090019.pdf?sfvrsn=4,Quorums of Statutory Boards (Miscellaneous Amendments) Bill,"
                   19.10.2009
            ","
                   
            "
"
                 18/2009
            ","
                  14.09.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090018.pdf?sfvrsn=4,Income Tax (Amendment) (Exchange of Information) Bill,"
                   19.10.2009
            ","
                   
            "
"
                 17/2009
            ","
                  14.09.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090017.pdf?sfvrsn=4,Income Tax (Amendment) Bill,"
                   23.11.2009
            ","
                   
            "
"
                 16/2009
            ","
                  18.08.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090016.pdf?sfvrsn=4,Copyright (Amendment) Bill,"
                   15.09.2009
            ","
                   
            "
"
                 15/2009
            ","
                  18.08.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090015.pdf?sfvrsn=4,Private Education Bill,"
                   14.09.2009
            ","
                   
            "
"
                 14/2009
            ","
                  18.08.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090014.pdf?sfvrsn=4,Casino Control (Amendment) Bill,"
                   15.09.2009
            ","
                   
            "
"
                 13/2009
            ","
                  20.07.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090013.pdf?sfvrsn=4,Legal Profession (Amendment) Bill,"
                   18.08.2009
            ","
                   
            "
"
                 12/2009
            ","
                  20.07.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090012.pdf?sfvrsn=4,Goods and Services Tax (Amendment) Bill,"
                   18.08.2009
            ","
                   
            "
"
                 11/2009
            ","
                  25.05.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090011.pdf?sfvrsn=4,Central Provident Fund (Amendment) Bill,"
                   20.07.2009
            ","
                   
            "
"
                 10/2009
            ","
                  23.03.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090010.pdf?sfvrsn=4,Civil Aviation Authority of Singapore Bill,"
                   13.04.2009
            ","
                   
            "
"
                 09/2009
            ","
                  23.03.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090009.pdf?sfvrsn=4,Preservation of Monuments Bill,"
                   13.04.2009
            ","
                   
            "
"
                 08/2009
            ","
                  23.03.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090008.pdf?sfvrsn=4,Public Order Bill,"
                   13.04.2009
            ","
                   
            "
"
                 07/2009
            ","
                  03.02.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090007.pdf?sfvrsn=4,Supplementary Supply (FY 2008) Bill,"
                   13.02.2009
            ","
                   
            "
"
                 06/2009
            ","
                  03.02.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090006.pdf?sfvrsn=4,Supply Bill,"
                   13.02.2009
            ","
                   
            "
"
                 05/2009
            ","
                  22.01.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090005.pdf?sfvrsn=4,Films (Amendment) Bill,"
                   23.03.2009
            ","
                   
            "
"
                 04/2009
            ","
                  19.01.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090004.pdf?sfvrsn=4,State Lands (Amendment) Bill,"
                   13.02.2009
            ","
                   
            "
"
                 03/2009
            ","
                  19.01.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090003.pdf?sfvrsn=4,Human Organ Transplant (Amendment) Bill,"
                   24.03.2009
            ","
                   
            "
"
                 02/2009
            ","
                  19.01.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090002.pdf?sfvrsn=4,Building and Construction Authority (Amendment) Bill,"
                   23.03.2009
            ","
                   
            "
"
                 01/2009
            ","
                  19.01.2009
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/090001.pdf?sfvrsn=4,Criminal Law (Temporary Provisions) (Amendment) Bill,"
                   13.02.2009
            ","
                   
            "
"
                 39/2008
            ","
                  17.11.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080039.pdf?sfvrsn=4,Bankruptcy (Amendment) Bill,"
                   19.01.2009
            ","
                   
            "
"
                 38/2008
            ","
                  17.11.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080038.pdf?sfvrsn=4,Civil Law (Amendment) Bill,"
                   19.01.2009
            ","
                   
            "
"
                 37/2008
            ","
                  17.11.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080037.pdf?sfvrsn=4,International Interests in Aircraft Equipment Bill,"
                   19.01.2009
            ","
                   
            "
"
                 36/2008
            ","
                  17.11.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080036.pdf?sfvrsn=4,Business Registration (Amendment) Bill,"
                   19.01.2009
            ","
                   
            "
"
                 35/2008
            ","
                  21.10.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080035.pdf?sfvrsn=4,Limited Partnerships Bill,"
                   18.11.2008
            ","
                   
            "
"
                 34/2008
            ","
                  20.10.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080034.pdf?sfvrsn=4,Employment (Amendment) Bill,"
                   18.11.2008
            ","
                   
            "
"
                 33/2008
            ","
                  20.10.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080033.pdf?sfvrsn=4,Moneylenders Bill,"
                   18.11.2008
            ","
                   
            "
"
                 32/2008
            ","
                  20.10.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080032.pdf?sfvrsn=4,Stamp Duties (Amendment) Bill,"
                   18.11.2008
            ","
                   
            "
"
                 31/2008
            ","
                  20.10.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080031.pdf?sfvrsn=4,Property Tax (Amendment) Bill,"
                   18.11.2008
            ","
                   
            "
"
                 30/2008
            ","
                  20.10.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080030.pdf?sfvrsn=4,Income Tax (Amendment) Bill,"
                   18.11.2008
            ","
                   
            "
"
                 29/2008
            ","
                  20.10.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080029.pdf?sfvrsn=4,Goods and Services Tax (Amendment) Bill,"
                   18.11.2008
            ","
                   
            "
"
                 28/2008
            ","
                  20.10.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080028.pdf?sfvrsn=4,Insurance (Amendment) Bill,"
                   19.01.2009
            ","
                   
            "
"
                 27/2008
            ","
                  15.09.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080027.pdf?sfvrsn=4,Statutes (Miscellaneous Amendments)(No. 2) Bill,"
                   17.11.2008
            ","
                   
            "
"
                 26/2008
            ","
                  15.09.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080026.pdf?sfvrsn=4,Children Development Co-Savings (Amendment) Bill,"
                   21.10.2008
            ","
                   
            "
"
                 25/2008
            ","
                  15.09.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080025.pdf?sfvrsn=4,Constitution of the Republic of Singapore (Amendment) Bill,"
                   21.10.2008
            ","
                   
            "
"
                 24/2008
            ","
                  15.09.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080024.pdf?sfvrsn=4,Administration of Muslim Law (Amendment) Bill,"
                   17.11.2008
            ","
                   
            "
"
                 23/2008
            ","
                  15.09.2008
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/080023.pdf?sfvrsn=4,Securities and Futures (Amendment) Bill,"
                   19.01.2009
            ","
                   
            "
"
                 32/2007
            ","
                  27.08.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070032.pdf?sfvrsn=4,Land Titles (Strata)(Amendment) Bill,"
                   20.09.2007
            ","
                   
            "
"
                 31/2007
            ","
                  27.08.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070031.pdf?sfvrsn=4,Inquiries Bill,"
                   19.09.2007
            ","
                   
            "
"
                 30/2007
            ","
                  27.08.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070030.pdf?sfvrsn=4,Monetary Authority of Singapore (Amendment No. 2) Bill,"
                   19.09.2007
            ","
                   
            "
"
                 29/2007
            ","
                  16.07.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070029.pdf?sfvrsn=4,"Carriage by Air (Montreal Convention, 1999) Bill","
                   27.08.2007
            ","
                   
            "
"
                 28/2007
            ","
                  16.07.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070028.pdf?sfvrsn=4,Central Provident Fund (Amendment) Bill,"
                   27.08.2007
            ","
                   
            "
"
                 27/2007
            ","
                  16.07.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070027.pdf?sfvrsn=4,Accounting Standards Bill,"
                   27.08.2007
            ","
                   
            "
"
                 26/2007
            ","
                  16.07.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070026.pdf?sfvrsn=4,Private Security Industry Bill,"
                   27.08.2007
            ","
                   
            "
"
                 25/2007
            ","
                  21.05.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070025.pdf?sfvrsn=4,Ngee Ann Kongsi (Incorporation)(Amendment) Bill,"
                   17.07.2007
            ","
                   
            "
"
                 24/2007
            ","
                  21.05.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070024.pdf?sfvrsn=4,Optometrists and Opticians Bill,"
                   17.07.2007
            ","
                   
            "
"
                 23/2007
            ","
                  21.05.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070023.pdf?sfvrsn=4,Commodity Trading (Amendment) Bill,"
                   17.07.2007
            ","
                   
            "
"
                 22/2007
            ","
                  21.05.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070022.pdf?sfvrsn=4,Postal Services (Amendment) Bill,"
                   16.07.2007
            ","
                   
            "
"
                 21/2007
            ","
                  21.05.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070021.pdf?sfvrsn=4,Passports Bill,"
                   16.07.2007
            ","
                   
            "
"
                 20/2007
            ","
                  21.05.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070020.pdf?sfvrsn=4,Constitution of the Republic of Singapore (Amendment) Bill,"
                   16.07.2007
            ","
                   
            "
"
                 19/2007
            ","
                  21.05.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070019.pdf?sfvrsn=4,Public Service Commission (Amendment) Bill,"
                   16.07.2007
            ","
                   
            "
"
                 18/2007
            ","
                  10.04.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070018.pdf?sfvrsn=4,Gas (Amendment) Bill,"
                   21.05.2007
            ","
                   
            "
"
                 17/2007
            ","
                  09.04.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070017.pdf?sfvrsn=4,Employment of Foreign Workers (Amendment) Bill,"
                   22.05.2007
            ","
                   
            "
"
                 16/2007
            ","
                  09.04.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070016.pdf?sfvrsn=4,Financial Procedure (Amendment) Bill,"
                   22.05.2007
            ","
                   
            "
"
                 15/2007
            ","
                  09.04.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070015.pdf?sfvrsn=4,Goods and Services Tax (Amendment) Bill,"
                   22.05.2007
            ","
                   
            "
"
                 14/2007
            ","
                  09.04.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070014.pdf?sfvrsn=4,Radiation Protection Bill,"
                   21.05.2007
            ","
                   
            "
"
                 13/2007
            ","
                  09.04.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070013.pdf?sfvrsn=4,Environmental Pollution Control (Amendment) Bill,"
                   21.05.2007
            ","
                   
            "
"
                 12/2007
            ","
                  09.04.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070012.pdf?sfvrsn=4,Singapore Armed Forces (Amendment) Bill,"
                   21.05.2007
            ","
                   
            "
"
                 11/2007
            ","
                  09.04.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070011.pdf?sfvrsn=4,Competition (Amendment) Bill,"
                   21.05.2007
            ","
                   
            "
"
                 10/2007
            ","
                  09.03.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070010.pdf?sfvrsn=4,Legal Profession (Amendment) Bill,"
                   12.04.2007
            ","
                   
            "
"
                 09/2007
            ","
                  27.02.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070009.pdf?sfvrsn=4,Dentists (Amendment)l Bill,"
                   12.04.2007
            ","
                   
            "
